Name,R_grp_SMILES,SMILE,Comments (Stanley),Name_Aaron,Comments (Aaron),Comments (after matching),Important comments for Group Meeting,"40, 67, 97,208,225"
IOIC2,O=C(c1cc(F)c(F)cc1C/2=C(C#N)/C#N)C2=C/c3sc4c(C(c5ccc([R14])cc5)(c6ccc([R14])cc6)c7c8c([R14])cc9c%10sc(c%11sc(/C=C%12C(c%13cc(F)c(F)cc%13C\%12=C(C#N)\C#N)=O)cc%11C%14(c%15ccc([R14])cc%15)c%16ccc([R14])cc%16)c%14c%10c([R14])cc9c8sc74)c3,O=C(c1cc(F)c(F)cc1C/2=C(C#N)/C#N)C2=C/c3sc4c(C(c5ccc(CCCCCC)cc5)(c6ccc(CCCCCC)cc6)c7c8c(CCCCCC)cc9c%10sc(c%11sc(/C=C%12C(c%13cc(F)c(F)cc%13C\%12=C(C#N)\C#N)=O)cc%11C%14(c%15ccc(CCCCCC)cc%15)c%16ccc(CCCCCC)cc%16)c%14c%10c(CCCCCC)cc9c8sc74)c3,check duplicates for excel,IOIC2,,,,
IT-4F,[R14]c%17ccc(C%18(c%19ccc([R14])cc%19)c%20c%21sc(/C=C%22C(c%23cc(F)c(F)cc%23C\%22=C(C#N)\C#N)=O)cc%21sc%20c%24cc%25c(c%26sc%27cc(/C=C%28C(c%29cc(F)c(F)cc%29C\%28=C(C#N)\C#N)=O)sc%27c%26C(c%30ccc([R14])cc%30)%25c%31ccc([R14])cc%31)cc%24%18)cc%17,CCCCCCc%17ccc(C%18(c%19ccc(CCCCCC)cc%19)c%20c%21sc(/C=C%22C(c%23cc(F)c(F)cc%23C\%22=C(C#N)\C#N)=O)cc%21sc%20c%24cc%25c(c%26sc%27cc(/C=C%28C(c%29cc(F)c(F)cc%29C\%28=C(C#N)\C#N)=O)sc%27c%26C(c%30ccc(CCCCCC)cc%30)%25c%31ccc(CCCCCC)cc%31)cc%24%18)cc%17,,IT-4F,,,,
IEIC,[R14]c%32ccc(C%33(c%34ccc([R14])cc%34)c%35cc(c%36c([R4])cc(/C=C%37C(c%38ccccc%38C\%37=C(C#N)\C#N)=O)s%36)sc%35c%39cc%40c(c%41sc(c%42c([R4])cc(/C=C%43C(c%44ccccc%44C\%43=C(C#N)\C#N)=O)s%42)cc%41C(c%45ccc([R14])cc%45)%40c%46ccc([R14])cc%46)cc%39%33)cc%32,CCCCCCc%32ccc(C%33(c%34ccc(CCCCCC)cc%34)c%35cc(c%36c(CC(CC)CCCC)cc(/C=C%37C(c%38ccccc%38C\%37=C(C#N)\C#N)=O)s%36)sc%35c%39cc%40c(c%41sc(c%42c(CC(CC)CCCC)cc(/C=C%43C(c%44ccccc%44C\%43=C(C#N)\C#N)=O)s%42)cc%41C(c%45ccc(CCCCCC)cc%45)%40c%46ccc(CCCCCC)cc%46)cc%39%33)cc%32,,IEIC,,,,
DTPC-DFIC,O=C(c%47cc(F)c(F)cc%47C/%48=C(C#N)/C#N)C%48=C/c%49sc(c(cc(c%50c%51%52)n%53[R1])c%52c(C(c%54ccc([R14])cc%54)%55c%56ccc([R14])cc%56)ccc%51c%57c%58c%50c%53cc%59c%58c(C(c%60ccc([R14])cc%60)(c%61ccc([R14])cc%61)c%62c%59sc(/C=C%63/C(c%64c(C%63=O)cc(F)c(F)c%64)=C(C#N)/C#N)c%62)cc%57)c%55c%49,O=C(c%47cc(F)c(F)cc%47C/%48=C(C#N)/C#N)C%48=C/c%49sc(c(cc(c%50c%51%52)n%53CC(CCCCCC)CCCCCCCC)c%52c(C(c%54ccc(CCCCCC)cc%54)%55c%56ccc(CCCCCC)cc%56)ccc%51c%57c%58c%50c%53cc%59c%58c(C(c%60ccc(CCCCCC)cc%60)(c%61ccc(CCCCCC)cc%61)c%62c%59sc(/C=C%63/C(c%64c(C%63=O)cc(F)c(F)c%64)=C(C#N)/C#N)c%62)cc%57)c%55c%49,,DTPC-DFIC,,,,
DICTF,O=C%65c%66c(C(/C%65=C/c%67ccc(c%68cc(C%69([R2])[R2])c(c%70c%69cc(c%71sc(/C=C%72C(c%73ccccc%73C\%72=C(C#N)\C#N)=O)cc%71)cc%70)cc%68)s%67)=C(C#N)\C#N)cccc%66,O=C%65c%66c(C(/C%65=C/c%67ccc(c%68cc(C%69(CCCCCCCC)CCCCCCCC)c(c%70c%69cc(c%71sc(/C=C%72C(c%73ccccc%73C\%72=C(C#N)\C#N)=O)cc%71)cc%70)cc%68)s%67)=C(C#N)\C#N)cccc%66,,DICTF,,,,
ITBTR-C8,[R14]c%74ccc(C%75(c%76ccc([R14])cc%76)c%77c(c%78cc%79c(c%80sc%81cc(c%82ccc(/C=C%83S/C(N(CCCCCCCC)C\%83=O)=C(C#N)/C#N)c%84c%82nsn%84)sc%81c%80C(c%85ccc([R14])cc%85)%79c%86ccc([R14])cc%86)cc%78%75)sc%87cc(c%88ccc(/C=C%89S/C(N(CCCCCCCC)C\%89=O)=C(C#N)/C#N)c%90c%88nsn%90)sc%87%77)cc%74,CCCCCCc%74ccc(C%75(c%76ccc(CCCCCC)cc%76)c%77c(c%78cc%79c(c%80sc%81cc(c%82ccc(/C=C%83S/C(N(CCCCCCCC)C\%83=O)=C(C#N)/C#N)c%84c%82nsn%84)sc%81c%80C(c%85ccc(CCCCCC)cc%85)%79c%86ccc(CCCCCC)cc%86)cc%78%75)sc%87cc(c%88ccc(/C=C%89S/C(N(CCCCCCCC)C\%89=O)=C(C#N)/C#N)c%90c%88nsn%90)sc%87%77)cc%74,,ITBTR-C8,,,,
m-MeIC,O=C(c%91c(C)scc%91C/%92=C(C#N)/C#N)C%92=C/c%93sc%94c%95c(c%96cc%97c(c%98sc%99cc(/C=C1C(c2c(C)scc2C\1=C(C#N)\C#N)=O)sc%99c%98C(c1cc([R14])ccc1)%97c1cccc([R14])c1)cc%96C%95(c1cc([R14])ccc1)c1cccc([R14])c1)sc%94c%93,O=C(c%91c(C)scc%91C/%92=C(C#N)/C#N)C%92=C/c%93sc%94c%95c(c%96cc%97c(c%98sc%99cc(/C=C1C(c2c(C)scc2C\1=C(C#N)\C#N)=O)sc%99c%98C(c1cc(CCCCCC)ccc1)%97c1cccc(CCCCCC)c1)cc%96C%95(c1cc(CCCCCC)ccc1)c1cccc(CCCCCC)c1)sc%94c%93,molecule flipped,m-MeIC,,,,
m-ITIC duplicate,[R14]c1cc(C2(c3cccc([R14])c3)c3c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5cc([R14])ccc5)4c4cccc([R14])c4)cc32)ccc1,CCCCCCc1cc(C2(c3cccc(CCCCCCC)c3)c3c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5cc(CCCCCC)ccc5)4c4cccc(CCCCCC)c4)cc32)ccc1,wrong structure,m-ITIC,Extra methyl after one R14 group,,,
IEICO,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4O[R4])sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4OCC(CC)CCCC)sc3c3cc4c(c5sc(c6c(OCC(CC)CCCC)cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,,IEICO,,,,
IT-M,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(C)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(C)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c4sc(/C=C5C(c6ccc(C)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(C)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,,IT-M,,,,
