ground_truth,prediction,upper,lower
13.15,14.49722,14.020130856986547,12.279869143013453
23.8,20.141136,24.670130856986546,22.929869143013455
12.93,13.895742,13.800130856986547,12.059869143013453
16.47,15.009239,17.340130856986544,15.599869143013452
17.97,16.544088,18.840130856986544,17.099869143013454
15.220000000000002,16.420084,16.090130856986548,14.349869143013455
14.94,17.108822,15.810130856986547,14.069869143013452
18.03,15.249629,18.900130856986546,17.159869143013456
17.24,12.686575,18.110130856986544,16.369869143013453
17.0,15.617921,17.870130856986545,16.129869143013455
12.3,16.596418,13.170130856986548,11.429869143013454
8.87,6.5571256,9.740130856986546,7.999869143013452
21.92,15.185645,22.790130856986547,21.049869143013456
4.22,10.47816,5.090130856986547,3.3498691430134526
8.36,10.354027,9.230130856986547,7.489869143013452
17.52,13.136404,18.390130856986545,16.649869143013454
16.8,18.418335,17.670130856986546,15.929869143013454
15.34,13.623974,16.210130856986545,14.469869143013453
10.6,13.326131,11.470130856986547,9.729869143013453
14.499999999999998,16.160105,15.370130856986545,13.629869143013451
20.24,19.011385,21.110130856986544,19.369869143013453
18.29,15.187978,19.160130856986545,17.419869143013454
8.33,11.831078,9.200130856986547,7.459869143013453
15.43,11.567471,16.300130856986545,14.559869143013453
16.32,17.840113,17.190130856986546,15.449869143013453
9.54,10.998248,10.410130856986546,8.669869143013452
15.88,12.728408,16.750130856986548,15.009869143013454
5.26,22.018602,6.130130856986547,4.389869143013453
21.98,20.739246,22.850130856986546,21.109869143013455
7.71,13.211657,8.580130856986546,6.839869143013453
6.32,11.339632,7.190130856986547,5.449869143013453
5.26,10.738547,6.130130856986547,4.389869143013453
17.9,14.458618,18.770130856986544,17.029869143013453
14.65,12.150869,15.520130856986547,13.779869143013453
17.32,16.02976,18.190130856986546,16.449869143013455
18.12,15.617921,18.990130856986546,17.249869143013456
11.2,12.271606,12.070130856986546,10.329869143013452
18.75,16.969913,19.620130856986545,17.879869143013455
15.99,18.188509,16.860130856986547,15.119869143013453
18.56,13.948701,19.430130856986544,17.689869143013453
7.35,15.877443,8.220130856986547,6.4798691430134525
9.67,13.127954,10.540130856986547,8.799869143013453
17.0,19.597094,17.870130856986545,16.129869143013455
17.7,19.683603,18.570130856986545,16.829869143013454
5.77,15.305069,6.640130856986547,4.899869143013452
14.4,18.503407,15.270130856986547,13.529869143013453
18.9,20.247023,19.770130856986544,18.029869143013453
17.65,16.359926,18.520130856986544,16.779869143013453
18.64,21.887856,19.510130856986546,17.769869143013455
2.65,5.2917547,3.520130856986547,1.7798691430134528
3.89,20.800713,4.760130856986547,3.019869143013453
16.4,20.71946,17.270130856986544,15.529869143013451
21.53,20.266338,22.400130856986546,20.659869143013456
17.61,19.035172,18.480130856986545,16.739869143013454
17.25,12.686575,18.120130856986545,16.379869143013455
